Filename,ImagePath,MaskPath,Subset,LesionType,Dataset
e_ophtha_EX_001.png,D:\Hackathon\SIH 2026\DR\dr-screening-sih\data\raw\e_ophtha\images\e_ophtha_EX_001.png,data\raw\e_ophtha\masks\e_ophtha_mask_001.png,e-ophtha,Lesion Segmentation,e-ophtha (TeleOphta / ADCIS)
e_ophtha_EX_002.png,D:\Hackathon\SIH 2026\DR\dr-screening-sih\data\raw\e_ophtha\images\e_ophtha_EX_002.png,data\raw\e_ophtha\masks\e_ophtha_mask_002.png,e-ophtha,Lesion Segmentation,e-ophtha (TeleOphta / ADCIS)
e_ophtha_EX_003.png,D:\Hackathon\SIH 2026\DR\dr-screening-sih\data\raw\e_ophtha\images\e_ophtha_EX_003.png,data\raw\e_ophtha\masks\e_ophtha_mask_003.png,e-ophtha,Lesion Segmentation,e-ophtha (TeleOphta / ADCIS)
e_ophtha_EX_004.png,D:\Hackathon\SIH 2026\DR\dr-screening-sih\data\raw\e_ophtha\images\e_ophtha_EX_004.png,data\raw\e_ophtha\masks\e_ophtha_mask_004.png,e-ophtha,Lesion Segmentation,e-ophtha (TeleOphta / ADCIS)
e_ophtha_EX_005.png,D:\Hackathon\SIH 2026\DR\dr-screening-sih\data\raw\e_ophtha\images\e_ophtha_EX_005.png,data\raw\e_ophtha\masks\e_ophtha_mask_005.png,e-ophtha,Lesion Segmentation,e-ophtha (TeleOphta / ADCIS)
e_ophtha_EX_006.png,D:\Hackathon\SIH 2026\DR\dr-screening-sih\data\raw\e_ophtha\images\e_ophtha_EX_006.png,data\raw\e_ophtha\masks\e_ophtha_mask_006.png,e-ophtha,Lesion Segmentation,e-ophtha (TeleOphta / ADCIS)
e_ophtha_EX_007.png,D:\Hackathon\SIH 2026\DR\dr-screening-sih\data\raw\e_ophtha\images\e_ophtha_EX_007.png,data\raw\e_ophtha\masks\e_ophtha_mask_007.png,e-ophtha,Lesion Segmentation,e-ophtha (TeleOphta / ADCIS)
e_ophtha_EX_008.png,D:\Hackathon\SIH 2026\DR\dr-screening-sih\data\raw\e_ophtha\images\e_ophtha_EX_008.png,data\raw\e_ophtha\masks\e_ophtha_mask_008.png,e-ophtha,Lesion Segmentation,e-ophtha (TeleOphta / ADCIS)
e_ophtha_MA_001.png,D:\Hackathon\SIH 2026\DR\dr-screening-sih\data\raw\e_ophtha\images\e_ophtha_MA_001.png,data\raw\e_ophtha\masks\e_ophtha_mask_009.png,e-ophtha,Lesion Segmentation,e-ophtha (TeleOphta / ADCIS)
e_ophtha_MA_002.png,D:\Hackathon\SIH 2026\DR\dr-screening-sih\data\raw\e_ophtha\images\e_ophtha_MA_002.png,data\raw\e_ophtha\masks\e_ophtha_mask_010.png,e-ophtha,Lesion Segmentation,e-ophtha (TeleOphta / ADCIS)
e_ophtha_MA_003.png,D:\Hackathon\SIH 2026\DR\dr-screening-sih\data\raw\e_ophtha\images\e_ophtha_MA_003.png,data\raw\e_ophtha\masks\e_ophtha_mask_011.png,e-ophtha,Lesion Segmentation,e-ophtha (TeleOphta / ADCIS)
e_ophtha_MA_004.png,D:\Hackathon\SIH 2026\DR\dr-screening-sih\data\raw\e_ophtha\images\e_ophtha_MA_004.png,data\raw\e_ophtha\masks\e_ophtha_mask_012.png,e-ophtha,Lesion Segmentation,e-ophtha (TeleOphta / ADCIS)
e_ophtha_MA_005.png,D:\Hackathon\SIH 2026\DR\dr-screening-sih\data\raw\e_ophtha\images\e_ophtha_MA_005.png,data\raw\e_ophtha\masks\e_ophtha_mask_013.png,e-ophtha,Lesion Segmentation,e-ophtha (TeleOphta / ADCIS)
e_ophtha_MA_006.png,D:\Hackathon\SIH 2026\DR\dr-screening-sih\data\raw\e_ophtha\images\e_ophtha_MA_006.png,data\raw\e_ophtha\masks\e_ophtha_mask_014.png,e-ophtha,Lesion Segmentation,e-ophtha (TeleOphta / ADCIS)
e_ophtha_MA_007.png,D:\Hackathon\SIH 2026\DR\dr-screening-sih\data\raw\e_ophtha\images\e_ophtha_MA_007.png,data\raw\e_ophtha\masks\e_ophtha_mask_015.png,e-ophtha,Lesion Segmentation,e-ophtha (TeleOphta / ADCIS)
e_ophtha_MA_008.png,D:\Hackathon\SIH 2026\DR\dr-screening-sih\data\raw\e_ophtha\images\e_ophtha_MA_008.png,data\raw\e_ophtha\masks\e_ophtha_mask_016.png,e-ophtha,Lesion Segmentation,e-ophtha (TeleOphta / ADCIS)
